word_1,word_2
baring,bearing
bearing,baring
bolder,boulder
boulder,bolder
canon,cannon
cannon,canon
cite,sight
sight,cite
cite,site
site,cite
sight,site
site,sight
creak,creek
creek,creak
hole,whole
whole,hole
incite,insight
insight,incite
it's,its
its,it's
peak,peek
peek,peak
peak,pique
pique,peak
peak,peek
peek,peak
peek,pique
pique,peek
rain,reign
reign,rain
rain,rein
rein,rain
reign,rein
rein,reign
real,reel
reel,real
role,roll
roll,role
sole,soul
soul,sole
stationary,stationery
stationery,stationary
steal,steel
steel,steal
tail,tale
tale,tail
their,there
there,their
their,they're
they're,their
there,they're
they're,there
waist,waste
waste,waist
